PDS,ANZ_S,RTS_E55010.0,RTS_E55010.1,RTS_E55010.3,RTS_E55010.3.MW_A_PR,RTS_E55010.3.MW_M_PR,RTS_E55010.3.MW_A_PW,RTS_E55010.3.MW_M_PW,RTS_E55010.4,RTS_E55010.4.MW_A_PR,RTS_E55010.4.MW_M_PR,RTS_E55010.4.MW_A_PW,RTS_E55010.4.MW_M_PW,RTS_E55010.9,RTS_E55020.0,RTS_E55020.1,RTS_E55020.3,RTS_E55020.3.MW_A_PR,RTS_E55020.3.MW_M_PR,RTS_E55020.3.MW_A_PW,RTS_E55020.3.MW_M_PW,RTS_E55020.4,RTS_E55020.4.MW_A_PR,RTS_E55020.4.MW_M_PR,RTS_E55020.4.MW_A_PW,RTS_E55020.4.MW_M_PW,RTS_E55020.9,RTS_E55030.0,RTS_E55030.1,RTS_E55030.3,RTS_E55030.3.MW_A_PR,RTS_E55030.3.MW_M_PR,RTS_E55030.3.MW_A_PW,RTS_E55030.3.MW_M_PW,RTS_E55030.4,RTS_E55030.4.MW_A_PR,RTS_E55030.4.MW_M_PR,RTS_E55030.4.MW_A_PW,RTS_E55030.4.MW_M_PW,RTS_E55030.9,RTS_E55040.0,RTS_E55040.1,RTS_E55040.3,RTS_E55040.3.MW_A_PR,RTS_E55040.3.MW_M_PR,RTS_E55040.3.MW_A_PW,RTS_E55040.3.MW_M_PW,RTS_E55040.4,RTS_E55040.4.MW_A_PR,RTS_E55040.4.MW_M_PR,RTS_E55040.4.MW_A_PW,RTS_E55040.4.MW_M_PW,RTS_E55040.9,RTS_E55050.0,RTS_E55050.1,RTS_E55050.3,RTS_E55050.3.MW_A_PR,RTS_E55050.3.MW_M_PR,RTS_E55050.3.MW_A_PW,RTS_E55050.3.MW_M_PW,RTS_E55050.4,RTS_E55050.4.MW_A_PR,RTS_E55050.4.MW_M_PR,RTS_E55050.4.MW_A_PW,RTS_E55050.4.MW_M_PW,RTS_E55050.9,RTS_E55060.0,RTS_E55060.1,RTS_E55060.3,RTS_E55060.3.MW_A_PR,RTS_E55060.3.MW_M_PR,RTS_E55060.3.MW_A_PW,RTS_E55060.3.MW_M_PW,RTS_E55060.4,RTS_E55060.4.MW_A_PR,RTS_E55060.4.MW_M_PR,RTS_E55060.4.MW_A_PW,RTS_E55060.4.MW_M_PW,RTS_E55060.9,RTS_E55070.0,RTS_E55070.1,RTS_E55070.3,RTS_E55070.3.MW_A_PR,RTS_E55070.3.MW_M_PR,RTS_E55070.3.MW_A_PW,RTS_E55070.3.MW_M_PW,RTS_E55070.4,RTS_E55070.4.MW_A_PR,RTS_E55070.4.MW_M_PR,RTS_E55070.4.MW_A_PW,RTS_E55070.4.MW_M_PW,RTS_E55070.9,RTS_E55080.0,RTS_E55080.1,RTS_E55080.3,RTS_E55080.3.MW_A_PR,RTS_E55080.3.MW_M_PR,RTS_E55080.3.MW_A_PW,RTS_E55080.3.MW_M_PW,RTS_E55080.4,RTS_E55080.4.MW_A_PR,RTS_E55080.4.MW_M_PR,RTS_E55080.4.MW_A_PW,RTS_E55080.4.MW_M_PW,RTS_E55080.9,RTS_E55090.0,RTS_E55090.1,RTS_E55090.3,RTS_E55090.3.MW_A_PR,RTS_E55090.3.MW_M_PR,RTS_E55090.3.MW_A_PW,RTS_E55090.3.MW_M_PW,RTS_E55090.4,RTS_E55090.4.MW_A_PR,RTS_E55090.4.MW_M_PR,RTS_E55090.4.MW_A_PW,RTS_E55090.4.MW_M_PW,RTS_E55090.9
7821214,397,,,12,"21,25",650,"6,812135","208,739057",385,"45,568831","1793,246753","13,993874","547,511827",,113,99,105,"3,495238","250,47619","1,041017","75,198688",80,"6,6125","454,5","2,036589","140,421148",,67,43,198,"5,212121","157,121212","1,623459","48,927669",89,"9,191011","346,179775","2,712546","102,933142",,,,5,"4,2",138,"1,484737","48,797368",392,"7,484694","319,260204","2,390786","102,138827",,17,,3,1,90,",301961","27,176471",377,"2,005305","150,397878",",642747","48,206026",,9,5,1,1,30,",35","10,5",382,"2,28534","107,081152",",729273","34,123046",,27,11,,,,,,359,"3,050139","126,518106",",956737","39,87466",,2,,,,,,,395,"3,025316","45,911392",",972539","14,762491",,151,94,72,"4,694444","147,5","1,502007","47,333507",80,"5,825","321,375","1,740557","96,302976",
7821215,28,,1,2,"28,5",855,"7,388889","221,666667",25,47,"1722,4","11,30744","413,930456",,2,22,2,9,355,"1,852941","73,088236",2,"10,5","452,5","2,722223","117,314815",,8,18,2,"5,5",165,"1,420588","42,617647",,,,,,,,3,8,"6,25","140,625","1,564551","35,375485",17,8,"262,941176","1,989302","65,887689",,24,4,,,,,,,,,,,,19,,5,1,30,",240482","7,214461",4,"2,75","116,25",",66602","28,02645",,,,1,3,45,",777778","11,666667",27,"4,962963","124,444444","1,193778","30,269738",,,,,,,,,28,"5,178571","295,714286","1,266498","72,353332",,15,1,1,7,210,"1,814815","54,444444",11,"12,818182",450,"2,95754","102,588161",
7821216,1308,,41,237,"21,85654","656,139241","6,707439","201,366756",1030,"33,466019","1022,417476","10,850265","331,599734",,480,332,223,"3,762332","217,399103","1,253383","72,554096",273,"7,56044","437,032967","2,438865","140,769035",,613,44,130,"4,761538","172,615385","1,360508","49,81399",521,"5,658349","199,808061","1,880839","66,615061",,,820,307,"5,752443","133,729642","1,824152","43,004146",181,"7,480663","226,325967","2,348191","71,636051",,398,719,,,,,,191,"2,701571","162,094241",",847974","50,878423",,,464,406,"2,440887",40,",798242","13,096537",438,"3,965753","95,821918","1,293798","31,491877",,39,182,85,"2,8","47,941176",",903908","15,480713",1002,"3,92016","106,442116","1,281315","34,922136",,,,,,,,,1308,"2,061162","30,940367",",677274","10,165092",,650,172,144,5,"151,354167","1,581493","47,830473",342,"9,266082","327,850877","2,889153","101,767337",
7821217,26,,,1,22,660,"7,7",231,25,"44,52","1352,4","13,705438","417,043151",,5,15,5,"3,8",222,"1,092443","65,176018",1,6,360,"1,555556","93,333333",,23,,2,3,140,"1,077632","50,289474",1,6,275,"1,615385","74,038462",,,6,18,"2,944444","148,333333",",908504","45,749262",2,4,210,"1,218519","63,972222",,26,,,,,,,,,,,,,,,,,,,,26,"3,230769","186,923077",",994156","57,940356",,4,11,,,,,,11,"2,545455","79,090909",",761974","24,030924",,20,,,,,,,6,1,"32,5",",283506","9,782768",,,,,,,,,26,"34,692308","1137,115385","10,039065","328,434049",
7821218,443,,11,27,"29,814815","701,851852","8,971846","211,73374",405,"43,646914","1131,333333","14,264285","369,946204",,188,239,15,"5,933333","246,666667","1,777816","73,343159",1,7,780,"1,814815","202,222222",,68,192,134,"4,776119","143,955224","1,580772","47,597287",49,"7,142857","214,081633","2,274986","68,178167",,3,427,10,"5,2","140,5","1,715595","47,462288",3,7,"203,333333","1,86321","53,995062",,364,79,,,,,,,,,,,,339,,41,"1,02439",30,",337121","9,923928",63,"2,301587","86,746032",",734808","27,614784",,18,48,65,"1,061538",45,",365876","15,441321",312,"2,724359","72,099359",",890418","23,622558",,79,,,,,,,364,"1,074176","16,14011",",354055","5,317948",,278,34,23,5,"149,347826","1,647797","49,165375",108,"8,657407","308,194444","2,790296","98,808343",
7821219,571,,23,88,"19,920455",675,"5,837656","198,957313",460,"30,478261","1174,934783","9,455848","365,064554",,4,324,31,"5,16129","246,129032","1,57342","74,658998",212,"12,660377","635,141509","3,766308","188,457303",,209,80,36,"3,805556","145,833333","1,17648","44,716515",246,"5,085366","300,97561","1,541137","91,283654",,,61,138,"3,442029","145,905797","1,114661","47,449138",372,7,"374,52957","2,154412","115,201737",,464,25,,,,,,82,"2,134146","128,04878",",687422","41,245288",,385,1,5,1,30,",307013","9,210394",180,"2,694444","123,5",",805396","36,932477",,175,30,1,3,45,"1,05","15,75",365,"4,427397","113,931507","1,364037","35,419206",,519,,,,,,,52,"1,057692","21,730769",",323935","6,597073",,280,80,102,"5,480392","164,215686","1,63533","49,009057",109,"8,798165","263,944954","2,637661","79,129816",
7821220,558,,11,83,"21,674699","651,686747","6,832086","205,337405",464,"33,665948","1069,202586","10,733865","340,333378",,204,146,88,"3,079545","228,409091",",952787","70,712089",120,"4,875","406,75","1,545919","129,350878",,208,25,59,"4,576271","207,20339","1,202114","54,470863",266,"5,706767","250,488722","1,898766","83,248198",,,55,22,"4,909091","141,136364","1,464721","42,017603",481,"10,733888","515,446985","3,508938","168,533283",,558,,,,,,,,,,,,,367,,31,1,30,",330236","9,907074",160,"2,5625","100,21875",",82364","32,297882",,,175,108,"2,157407",45,",71423","14,947361",275,"4,676364","113,781818","1,467271","35,557112",,1,,,,,,,557,"1,389587","20,843806",",450555","6,758328",,392,19,31,"5,419355","164,516129","1,690019","51,377973",116,"9,327586","333,87931","2,968768","106,432292",
7821221,36,,1,3,"10,666667",785,"2,765432","203,518518",32,"30,75","1788,28125","7,830126","458,370381",,,6,10,"4,7","276,5","1,218519","71,685185",20,"8,4","571,25","2,103914","141,420962",,9,26,1,5,180,"1,296296","46,666667",,,,,,,10,25,1,8,135,",903226","15,241935",,,,,,,36,,,,,,,,,,,,,26,,2,1,30,",259259","7,777778",8,1,95,",267488","25,370209",,,,,,,,,36,"10,25",780,"2,608143","199,10335",,36,,,,,,,,,,,,,21,7,3,6,"286,666667","1,116487","52,123656",5,"9,8",562,"2,740419","156,969404",
7821222,648,,2,13,"27,538462","825,384615","7,113811","213,145103",633,"49,772512","1645,410742","15,605974","516,083998",,290,262,82,"5,036585","241,402439","1,538158","73,756747",14,"6,928571","331,785714","2,29847","110,09058",,72,87,215,"5,130233","160,465116","1,583917","49,494748",274,"7,416058","247,937956","2,306257","76,819225",,,40,406,"7,224138","149,667488","2,41796","50,276691",202,"9,732673","208,737624","2,714951","59,235412",,305,219,99,2,90,",623659","28,064644",25,3,135,",810465","36,470905",,63,3,3,"1,666667",30,",572727","10,181818",579,"8,75475","186,200345","2,624105","56,678752",,229,121,58,"2,051724",45,",647338","14,192969",240,"4,404167","98,020833","1,38779","30,749109",,5,,,,,,,643,"1,25972","19,595645",",401151","6,220811",,389,86,48,"5,354167","158,958333","1,659846","49,325482",125,"10,424","310,4","3,107103","92,53153",
7821223,35,,2,4,38,1140,"7,216742","216,502262",29,"40,862069","1269,310345","10,162856","315,672243",,10,21,4,"3,5",210,"1,117593","67,055556",,,,,,,17,5,7,"3,285714","188,571429",",816125","45,96748",6,"5,5",330,"1,425965","85,55787",,,31,4,3,135,"1,0375","46,6875",,,,,,,35,,,,,,,,,,,,,23,,5,1,30,",241996","7,259892",7,"2,428571","81,428571",",519868","17,059448",,5,2,16,"2,25","45,3125",",616343","12,419751",12,"3,833333","75,833333",",941585","18,966291",,1,,,,,,,34,"1,470588","24,264706",",38775","6,397551",,,,1,12,480,"1,354839","54,193548",34,"25,647059","803,529412","6,422831","198,815793",
7821224,246,,4,11,"30,545455","619,545455","9,689338","196,339238",231,"56,714286","1702,034632","17,145282","514,069982",,167,76,3,"4,333333",220,"1,35","68,333333",,,,,,,50,33,27,"3,814815","199,074074","1,047736","54,778124",136,"6,985294","367,095588","2,165969","114,149183",,,1,21,6,"155,714286","2,011298","52,1669",224,"7,026786","198,883929","2,204322","62,379841",,59,115,1,2,105,",466667","24,5",71,"2,014085","120,84507",",615335","36,920068",,4,136,8,2,30,",615422","9,231333",98,"18,836735","732,806122","5,903722","229,541926",,1,100,13,"2,615385",45,",839264","14,503493",132,"2,143939","63,068182",",662249","19,539077",,,,,,,,,246,"1,113821","16,890244",",347285","5,256701",,52,27,17,"4,176471","198,529412","1,067769","49,838537",150,"5,82","290,8","1,809371","90,436498",
7821225,58,,3,17,"22,294118",690,"6,660329","206,222222",38,"37,736842","1392,631579","12,507177","458,476839",,6,8,30,"4,1",240,"1,279581","75,486217",14,"6,714286","402,857143","2,272222","136,333333",,10,6,16,"5,1875","155,625","1,676127","50,283809",26,"7,115385","213,461538","2,305413","69,162393",,,,11,3,"121,363636",",9612","38,925282",47,4,180,"1,325121","59,630459",,58,,,,,,,,,,,,,4,,1,1,30,",35","10,5",53,"2,358491","115,754717",",776167","38,100408",,,,28,1,45,",325408","14,643382",30,"3,133333","132,5","1,048928","44,258333",,52,,,,,,,6,1,"27,5",",334877","9,171296",,57,1,,,,,,,,,,,
7821226,126,,,6,"22,5","662,5","7,451543","218,717593",120,"38,166667","1186,25","12,863474","399,791175",,10,15,62,"3,306452","197,419355","1,132033","67,464606",39,"6,666667","398,076923","2,2703","135,489384",,,12,26,"5,076923","152,307692","1,639313","49,17939",88,"6,193182","185,795455","2,1296","63,888009",,,5,27,"4,481481","152,592593","1,547743","52,487654",94,"6,925532","250,744681","2,366889","85,565159",,126,,,,,,,,,,,,,5,12,12,"2,25","35,833333",",78052","12,419516",97,"3,701031","119,381443","1,27174","41,098312",,,2,7,"1,571429",45,",556443","16,039916",117,"3,119658","93,461538","1,051021","31,521418",,1,,,,,,,125,"1,008","15,12",",344157","5,162361",,62,11,19,4,"142,105263","1,327412","47,49918",34,"9,294118","304,411765","3,002451","98,540369",
7821227,232,,,3,26,785,"7,088506","214,405172",229,"43,082969","1513,689956","12,999918","455,296086",,43,57,61,"3,786885","252,540984","1,144604","76,741793",71,"7,211268","492,253521","2,123507","145,070629",,17,22,79,"4,164557","187,911392","1,148731","51,837019",114,"4,938596","224,473684","1,601063","72,748048",,1,46,64,"3,78125","150,546875","1,204071","47,846257",121,"5,231405","220,082645","1,601342","67,125416",,135,77,1,2,105,",7","36,75",19,"2,052632","123,157895",",630715","37,842889",,,,,,,,,232,"5,952586","174,956897","1,845836","54,832131",,,,,,,,,232,"7,844828","405,323276","2,478351","127,647638",,10,,,,,,,222,1,45,",3149","14,170503",,10,11,15,3,163,",91606","49,520675",196,"6,678571","418,545918","2,075193","129,910027",
7821228,397,,,2,"24,5","642,5","8,575","224,875",395,"51,898734","1474,556962","17,176707","488,09941",,241,109,32,"3,9375","230,15625","1,239043","72,498881",15,"5,733333",331,"1,911656","110,285457",,56,73,116,"4,612069","150,431034","1,532514","49,815425",152,"6,506579","257,236842","2,16808","85,514208",,,140,206,"3,665049","142,572816","1,218739","47,805949",51,"5,392157","190,882353","1,725259","61,545293",,24,26,10,2,105,",681852","35,797222",337,"3,20178","188,323442","1,080912","63,583773",,43,,14,1,30,",337425","10,12276",340,"2,594118","136,602941",",867983","45,610105",,,,1,1,45,",35","15,75",396,"4,353535","186,540404","1,446266","62,288764",,141,,,,,,,256,"1,171875","45,585938",",388081","15,121205",,261,34,40,"4,875","145,625","1,615774","48,27714",62,"9,564516","286,935484","3,058016","91,74047",
7821229,62,,,,,,,,62,"50,370968","1592,33871","15,753124","497,9904",,24,22,10,"4,1",246,"1,268013","75,536364",6,"5,666667",350,"1,892593","116,601852",,37,8,7,"4,571429","170,714286","1,4133","51,348485",10,"4,6",195,"1,61","68,25",,,44,18,"5,833333","139,444444","1,907154","45,415854",,,,,,,62,,,,,,,,,,,,,1,,,,,,,61,"4,081967","102,131148","1,295862","32,495234",,18,6,,,,,,38,"2,657895","108,157895",",858992","34,679924",,45,,,,,,,17,1,"40,588235",",328649","13,405229",,41,12,2,"4,5","157,5","1,393519","47,638889",7,"8,285714","252,857143","2,378431","72,852941",
7821230,83,,,3,"20,333333",750,"5,226471","193,088235",80,"27,5375","1106,5","8,384582","341,285353",,2,54,22,"5,727273","230,454545","1,844174","74,04756",5,"8,8",360,"2,691111","110,133333",,50,3,2,"3,5",165,",998148","48,222222",28,"5,571429","334,285714","1,661619","99,697115",,4,79,,,,,,,,,,,,37,46,,,,,,,,,,,,,,1,1,30,",35","10,5",82,"16,792683","258,170732","5,15104","79,977159",,,7,,,,,,76,"2,539474","114,868421",",78263","35,768817",,3,,,,,,,80,"2,5625","50,25",",796084","15,643173",,,1,1,3,135,"1,05","47,25",81,"14,395062","556,481481","4,469243","173,05195",
7821231,34,,6,10,"27,8",850,"6,746231","207,429139",18,"35,666667","1177,222222","10,106812","334,623878",,10,18,3,5,250,"1,244699","64,387799",3,"6,333333",440,"1,627366","117,272379",,11,6,8,"3,75","161,25","1,176389","50,142361",9,"5,777778","291,666667","1,565723","78,413217",,,30,3,3,120,",959259","38,37037",1,4,300,"1,037037","77,777778",,34,,,,,,,,,,,,,5,,11,1,30,",271426","8,1428",18,"2,555556","103,333333",",789758","32,723608",,,7,2,3,50,"1,05","17,5",25,"4,44","84,6","1,172564","22,977943",,2,,,,,,,32,"1,25","27,5",",346076","7,537",,10,5,1,6,180,"1,555556","46,666667",18,11,425,"2,937853","112,634032",
7821232,422,,,5,22,702,"6,818815","217,815556",417,"37,601918","1292,122302","12,223939","420,03192",,12,57,136,"3,654412","218,308824","1,210832","72,315373",217,"7,705069","465,921659","2,497958","151,048527",,76,49,88,"2,397727","143,863636",",733342","44,00049",209,"3,703349","222,200957","1,236983","74,218979",,,17,60,"5,016667","155,5","1,729591","53,770102",345,"7,310145","245,246377","2,365858","79,977416",,114,252,,,,,,56,"2,339286","140,357143",",79168","47,500781",,18,,6,1,30,",35","10,5",398,"3,344221","106,356784","1,103005","35,029057",,17,1,10,1,45,",34","15,3",394,"2,30203","123,172589",",757966","40,553474",,22,,,,,,,400,"1,5425","46,3375",",507953","15,262646",,107,86,50,"3,8",145,"1,254578","47,546065",179,"7,150838","389,189944","2,279459","123,920839",
7821233,585,,4,17,"22,352941","670,588235","6,875313","206,2594",564,"49,631206","1489,592199","15,55645","466,269163",,145,381,46,"5,347826","225,543478","1,659881","71,145897",13,"7,615385","330,769231","2,433369","104,023234",,2,199,250,"4,788","143,64","1,551039","46,531161",134,"8,61194","258,358209","2,700865","81,025964",,,78,272,"5,235294","148,455882","1,725147","48,984295",235,"7,251064","218,425532","2,200514","66,333238",,457,128,,,,,,,,,,,,2,,8,2,30,",647386","9,710784",575,"3,655652","108,313043","1,159093","34,367396",,75,37,,,,,,473,"3,763214","158,773784","1,191296","50,28935",,,,,,,,,585,"2,65812","47,358974",",852763","15,131999",,193,59,61,"5,114754","155,409836","1,610309","48,997797",272,"12,117647","482,095588","3,82979","151,657488",
7821234,147,,5,17,"22,470588","684,705882","6,483901","197,385432",125,"44,808","1717,08","13,595398","520,945075",,69,68,9,"3,888889","221,111111","1,245292","70,439724",1,7,420,"1,814815","108,888889",,67,66,9,"3,555556","153,333333","1,140063","48,186638",5,7,270,"2,219412","82,394118",,,1,81,"6,555556","147,469136","2,086704","47,149041",65,"8,261538","237,538462","2,4778","71,900611",,81,9,26,2,90,",670808","30,186354",31,"3,548387","161,129032",",944627","42,876831",,9,2,,,,,,136,"37,161765","1279,595588","11,249397","385,364044",,42,16,1,1,45,",35","15,75",88,"1,625","77,897727",",499747","24,192397",,1,,,,,,,146,"2,006849","31,438356",",624654","9,692344",,52,45,29,"3,310345","161,37931",",946015","46,453131",21,"4,666667","230,238095","1,518167","74,693517",
7821235,118,,,,,,,,118,"82,779661","2709,025424","25,769929","841,777972",,90,23,5,2,180,",7",63,,,,,,,29,54,9,"3,222222","136,666667","1,077366","46,018519",26,"6,307692","229,615385","2,115745","76,38914",,,,1,6,165,"2,1","57,75",117,"7,08547","234,615385","2,226128","74,269546",,12,,,,,,,106,"1,037736","124,528302",",331979","39,83743",,1,86,,,,,,31,"2,967742","179,032258",",890569","51,656494",,5,,2,1,45,",35","15,75",111,"3,279279","175,135135","1,035591","55,328078",,4,,,,,,,114,"1,070175","17,631579",",337511","5,46359",,88,3,11,"6,181818","174,545455","1,924411","54,285354",16,"11,25","322,5","3,111492","88,803922",
7821236,43,,,,,,,,43,"42,697674","1563,488372","12,656143","464,876268",,,8,12,"3,833333","231,25","1,157229","69,757797",23,"6,826087","449,347826","1,999015","131,584683",,4,3,6,"5,833333",175,"1,739198","52,175926",30,"8,8",282,"2,589054","82,656251",,,,,,,,,43,"9,209302","352,674419","2,807177","108,222978",,12,31,,,,,,,,,,,,,,2,2,40,",648149","12,962963",41,"4,121951","142,682927","1,261535","43,531141",,,,8,1,45,",29559","13,301535",35,"3,457143","129,428571","1,063003","39,94628",,,,,,,,,43,1,15,",308118","4,621776",,18,13,3,"2,666667",180,",751852","50,296296",9,"7,888889","876,666667","2,004411","214,636227",
7821237,64,,5,9,21,600,"6,714815","193,666667",50,"36,76",1119,"12,22317","372,036756",,11,10,21,"3,190476","187,857143","1,113238","65,566986",22,"7,681818","408,409091","2,607069","138,722435",,7,,15,"3,266667",156,"1,038203","49,57201",42,"5,642857","262,857143","1,931417","90,012914",,,51,10,"3,9",144,"1,372368","50,676316",3,"5,666667",210,"1,983333","73,5",,64,,,,,,,,,,,,,10,,3,"1,666667",30,",583333","10,5",51,"8,823529","306,372549","2,945713","103,063969",,1,1,,,,,,62,"2,870968","106,451613",",957248","35,703281",,14,,,,,,,50,"1,5","68,4",",504244","22,991592",,12,3,4,4,150,"1,309259","48,416667",45,"6,911111","340,333333","2,348637","116,331477",
7821238,203,,1,,,,,,202,"62,935644","2113,118812","20,236132","679,257027",,103,54,30,"3,4",206,"1,13858","68,833333",16,"5,3125",405,"1,796991","135,284722",,48,6,6,"3,166667","147,5",",996556","46,595029",143,"5,783217","294,335664","1,866944","95,21139",,,28,110,"6,209091",162,"2,012226","52,733853",65,"8,169231","245,076923","2,640057","79,404131",,175,,,,,,,28,1,120,",302723","36,326797",,104,,11,1,30,",317003","9,510101",88,"2,284091","140,625",",750968","45,924242",,,,118,1,40,",331544","13,26177",85,"2,6","118,117647",",829769","37,685999",,30,,,,,,,173,"1,034682","16,300578",",337285","5,300919",,164,9,18,"4,777778","143,333333","1,571399","47,141975",12,"8,25",280,"2,637963","89,37963",
7821239,76,,,,,,,,76,"49,776316","1498,421053","16,551098","498,179135",,37,17,12,5,"242,5","1,57608","78,296296",10,"9,2",369,"3,017096","121,757018",,17,14,27,"4,888889","146,666667","1,582491","47,474722",18,"6,166667",185,"2,167544","65,026316",,,62,14,"5,428571","156,428571","1,810197","52,170996",,,,,,,76,,,,,,,,,,,,,,,,,,,,76,"3,828947","106,578947","1,28401","35,520667",,,30,2,3,45,"1,05","15,75",44,"4,090909","104,318182","1,345047","33,960226",,11,,,,,,,65,"1,538462","61,846154",",509087","20,77796",,67,3,2,4,165,"1,263889","49,583334",4,"6,75",225,"2,399342","80,269737",
7821240,390,,1,6,"16,333333","582,5","5,807407","207,180556",383,"46,007833","1597,362924","15,442305","535,631731",,90,222,55,"4,309091","211,636364","1,436814","70,747422",23,7,340,"2,252738","109,294686",,13,53,95,"4,042105","137,684211","1,353679","46,310767",229,"4,89083","273,275109","1,634748","91,25325",,,205,153,"4,379085","137,51634","1,481972","46,495753",32,"7,6875","223,125","2,494475","72,74802",,336,8,30,2,90,",705049","31,727193",16,"3,0625","137,8125",",981134","44,151042",,55,11,3,"1,666667","36,666667",",52284","11,623457",321,"2,314642","119,034268",",773429","39,938026",,196,99,3,1,45,",370588","16,676471",92,"2,663043","90,163043",",888573","30,139941",,6,,,,,,,384,"1,013021","15,195313",",342672","5,140083",,62,54,56,"4,142857","137,678571","1,401194","46,727485",218,"7,215596","325,321101","2,407644","108,649951",
7821241,192,1,11,22,"20,363636","619,772727","6,723064","203,453704",158,"32,620253","1120,031646","10,820043","371,482192",,30,54,40,"3,3","214,5","1,111898","72,556944",68,"6,911765","437,426471","2,288418","144,043243",,14,25,22,5,"148,181818","1,663446","49,431995",131,"9,206107","318,015267","3,046751","105,252935",,,1,15,"6,6","157,333333","2,148483","51,44407",176,"8,323864","264,943182","2,782873","88,806423",,127,41,,,,,,24,"2,041667","122,5",",676064","40,56384",,26,,11,1,30,",342657","10,27972",155,"2,212903","119,935484",",730183","39,855685",,49,5,2,2,"47,5",",60926","14,356482",136,"1,838235","103,639706",",608053","34,274208",,79,,,,,,,113,"1,566372","23,495575",",518585","7,778767",,79,38,32,"6,34375","152,8125","2,010191","49,345788",43,"11,837209","291,627907","3,928357","96,981167",
7821242,826,,2,8,"22,25","683,75","7,246296","223,189815",816,"60,178922","1856,629902","19,374637","597,783287",,153,434,95,"3,568421","220,210526","1,13176","69,966199",144,"6,847222","681,527778","2,174668","216,411132",,6,195,202,"4,257426","156,089109","1,350234","49,793451",423,"6,156028","214,539007","1,993365","69,641748",,,49,194,"3,572165","148,14433","1,225771","51,010978",583,"4,104631","181,646655","1,326627","58,821713",,826,,,,,,,,,,,,,247,,146,1,30,",335437","10,063109",433,"3,290993","118,198614","1,06791","38,41109",,6,14,9,"2,222222",45,",732313","15,068035",797,"5,061481","159,836888","1,64312","52,127556",,,,,,,,,826,"1,767554","35,139225",",575671","11,399989",,427,84,54,"5,055556","153,333333","1,655028","50,177713",261,"12,743295","408,275862","4,017844","128,901158",
7821243,338,,4,34,"18,794118","615,882353","6,336902","207,985716",300,"30,886667","1265,1","10,127403","414,398979",,151,79,32,"3,53125","214,6875","1,196899","72,798337",76,"7,578947",540,"2,385836","170,206581",,56,30,69,"3,405797","131,086957","1,186367","45,686545",183,"8,808743","360,163934","2,928515","118,298121",,,,,,,,,338,"9,775148","277,914201","3,228448","92,124316",,13,133,144,2,90,",668322","30,074464",48,3,135,",978306","44,023769",,213,44,16,"2,0625","30,625",",702739","10,431708",65,"3,830769","90,769231","1,269368","29,995365",,1,78,31,"2,16129",45,",731959","15,198925",228,"4,333333","166,710526","1,425641","55,321986",,335,,,,,,,3,1,15,",35","5,25",,,,5,"4,8",144,"1,68","50,4",333,"13,762763","425,705706","4,478793","138,359748",
7821244,1109,,5,28,"19,607143","654,464286","6,37963","212,988426",1076,"39,171933","1326,403346","12,729419","430,991884",,551,479,45,"3,8","215,777778","1,235226","69,987037",34,"5,558824","381,911765","1,829753","125,409215",,68,222,39,"3,846154","157,692308","1,220513","49,817664",780,"7,398718",344,"2,415325","112,127087",,2,8,47,"6,361702","154,574468","2,170965","52,818737",1052,"9,763308","261,21673","3,188574","85,367391",,438,101,570,"1,326316",90,",438617","29,907845",,,,,,,588,25,72,"1,055556",30,",342978","9,819445",424,"3,372642","117,028302","1,094018","38,140878",,3,393,106,"2,981132","45,566038","1,013679","15,498078",607,"6,057661","203,130148","1,921824","64,475468",,8,,,,,,,1101,"1,951862","55,027248",",640816","18,097668",,332,403,65,"5,015385","153,692308","1,653476","50,818803",309,"9,349515","392,621359","2,942592","123,224405",
7821245,297,,7,11,"21,272727","652,727273","6,278056","194,415222",279,"56,107527","1704,820789","16,94598","516,1077",,83,164,22,"4,272727","265,909091","1,202159","74,842267",28,"6,214286","361,071429","2,047774","118,888614",,66,32,40,"3,45","172,5","1,04372","52,185994",159,"5,465409","273,27044","1,649656","82,482795",,10,118,100,"3,02","159,2",",968392","51,01196",69,"4,724638","228,985507","1,405426","68,74713",,58,10,83,2,100,",625697","31,284827",146,"3,013699","150,616438",",932347","46,599615",,26,4,2,1,30,",259259","7,777778",265,"4,49434","114,113208","1,418697","35,769914",,,5,24,"2,166667","45,833333",",716744","15,361111",268,"4,037313","93,171642","1,217941","28,088463",,9,,,,,,,288,"1,017361","15,677083",",316782","4,873938",,81,99,39,"5,820513","169,358974","1,783281","50,761575",78,"11,538462","337,435897","3,417277","99,482063",
7821246,276,,9,36,"22,138889","695,972222","6,493697","204,418032",231,"36,25974","1332,748918","10,962446","403,028202",,169,78,19,"3,736842","252,631579","1,046013","69,754175",10,6,474,"1,629746","129,126667",,102,40,40,"3,675","167,625","1,092601","49,914323",94,"6,287234","286,276596","1,780274","80,97979",,7,149,96,"2,34375",125,",742571","39,852729",24,"4,708333",230,"1,4429","70,397661",,99,93,,,,,,84,"2,261905","135,714286",",718378","43,102677",,23,,,,,,,253,"2,644269","139,980237",",807379","42,830914",,126,76,26,"1,384615",45,",418572","13,43397",48,"2,3125","86,875",",7104","26,450936",,2,,,,,,,274,"1,127737","18,50365",",351541","5,687902",,141,70,29,"5,413793","162,931034","1,608137","48,378221",36,"9,166667",275,"2,773728","83,211828",
